,이름,별점,주소,종류,공통카테고리,길,식당수,별점
0,미오도쿄다이닝,4.8,"서울특별시 성동구 연무장5가길 7 현대테라스타워 117호
","
퓨전 일식
",일식,연무장5가길,1,2.749637904833483
1,가조쿠,4.4,"서울특별시 성동구 연무장길 31-2 1F
","
라멘 / 소바 / 우동
",일식,연무장길,1,1.6810582451351654
2,멜라,4.3,"서울특별시 성동구 연무장길 39-25
","
브런치 / 버거 / 샌드위치
",양식,연무장길,1,1.4139133302105842
3,다포케,4.3,"서울특별시 성동구 연무장길 41
","
세계음식 기타
",기타,연무장길,1,1.4139133302105842
4,에이투비,4.2,"서울특별시 성동구 아차산로11길 3 2F
","
카페 / 디저트
",카페/디저트,아차산로11길,1,1.1467684152860056
5,소문난성수감자탕,4.1,"서울특별시 성동구 연무장길 45
","
탕 / 찌개 / 전골
",한식,연무장길,1,0.8796235003614243
6,성수족발,4.1,"서울특별시 성동구 아차산로7길 7 동진빌딩 1F
","
고기 요리
",고기집,아차산로7길,1,0.8796235003614243
7,도렐,4.1,"서울특별시 성동구 연무장7길 11 1F
","
카페 / 디저트
",카페/디저트,연무장7길,1,0.8796235003614243
8,뺑드에코,4.1,"서울특별시 성동구 연무장길 44 2F
","
베이커리
",카페/디저트,연무장길,1,0.8796235003614243
9,쓰리오브어스,4.0,"서울특별시 성동구 연무장길 41-18
","
다국적 아시아 음식
",아시안식,연무장길,1,0.6124785854368455
10,넛츠버거,4.0,"서울특별시 성동구 연무장길 37-7 1F
","
브런치 / 버거 / 샌드위치
",양식,연무장길,1,0.6124785854368455
11,꿉당,4.0,"서울특별시 성동구 성수이로20길 10 경협회관 104호
","
고기 요리
",고기집,성수이로20길,1,0.6124785854368455
12,에르제,3.9,"서울특별시 성동구 아차산로 135 1F
","
베이커리
",카페/디저트,아차산로,1,0.3453336705122655
13,송계옥,3.9,"서울특별시 성동구 아차산로11길 11 1F 101-103호
","
닭 / 오리 요리
",한식,아차산로11길,1,0.3453336705122655
14,이오로비스트로,3.9,"서울특별시 성동구 연무장5길 18 1F
","
기타 양식
",양식,연무장5길,1,0.3453336705122655
15,백정돈공장,3.9,"서울특별시 성동구 연무장길 38-2
","
고기 요리
",고기집,연무장길,1,0.3453336705122655
16,카페노티드,3.9,"서울특별시 성동구 연무장길 29-17 1F
","
카페 / 디저트
",카페/디저트,연무장길,1,0.3453336705122655
17,어니언,3.8,"서울특별시 성동구 아차산로9길 8
","
카페 / 디저트
",카페/디저트,아차산로9길,1,0.07818875558768551
18,소바식당,3.8,"서울특별시 성동구 연무장7가길 6
","
라멘 / 소바 / 우동
",일식,연무장7가길,1,0.07818875558768551
19,스탠서울,3.8,"서울특별시 성동구 연무장길 33 1층
","
치킨 / 호프 / 펍
",펍,연무장길,1,0.07818875558768551
20,나누리잡화점,3.8,"서울특별시 성동구 연무장길 47
","
일반 주점
",펍,연무장길,1,0.07818875558768551
21,쏘심플,3.8,"서울특별시 성동구 연무장길 37-7 B1
","
이탈리안
",양식,연무장길,1,0.07818875558768551
22,프랑스포차,3.7,"서울특별시 성동구 연무장5가길 20
","
프랑스 음식
",양식,연무장5가길,1,-0.1889561593368933
23,레이더,3.7,"서울특별시 성동구 연무장길 39-29
","
카페 / 디저트
",카페/디저트,연무장길,1,-0.1889561593368933
24,잠수교집,3.7,"서울특별시 성동구 아차산로 137 1F
","
고기 요리
",고기집,아차산로,1,-0.1889561593368933
25,TMH,3.7,"서울특별시 성동구 연무장7가길 8
","
카페 / 디저트
",카페/디저트,연무장7가길,1,-0.1889561593368933
26,마를리,3.6,"서울특별시 성동구 연무장길 47 홍원빌딩
","
카페 / 디저트
",카페/디저트,연무장길,1,-0.4561010742614733
27,탐광,3.6,"서울특별시 성동구 연무장5가길 26
","
돈부리 / 일본 카레 / 벤토
",일식,연무장5가길,1,-0.4561010742614733
28,레몬그라스,3.6,"서울특별시 성동구 연무장길 41-26
","
태국 음식
",아시안식,연무장길,1,-0.4561010742614733
29,치카치카,3.6,"서울특별시 성동구 연무장길 38
","
카페 / 디저트
",카페/디저트,연무장길,1,-0.4561010742614733
30,Poze,3.5,"서울특별시 성동구 연무장9길 7
","
카페 / 디저트
",카페/디저트,연무장9길,1,-0.7232459891860533
31,Scene,3.5,"서울특별시 성동구 연무장5길 20
","
카페 / 디저트
",카페/디저트,연무장5길,1,-0.7232459891860533
32,루디먼트,3.5,"서울특별시 성동구 아차산로7길 15-8
","
카페 / 디저트
",카페/디저트,아차산로7길,1,-0.7232459891860533
33,그리드채플린,3.5,"서울특별시 성동구 아차산로7길 15-1 효정빌딩
","
치킨 / 호프 / 펍
",펍,아차산로7길,1,-0.7232459891860533
34,오설록티하우스,3.4,"서울특별시 성동구 아차산로11길 7 2F
",만원 미만,카페/디저트,아차산로11길,1,-0.9903909041106332
35,제주국수,3.4,"서울특별시 성동구 성수이로 118
","
국수 / 면 요리
",한식,성수이로,1,-0.9903909041106332
36,글로우,3.2,"서울특별시 성동구 아차산로9길 20
","
카페 / 디저트
",카페/디저트,아차산로9길,1,-1.524680733959792
37,텐동식당,3.2,"서울특별시 성동구 연무장5가길 20-1 1F
","
돈부리 / 일본 카레 / 벤토
",일식,연무장5가길,1,-1.524680733959792
38,러위엔관,3.2,"서울특별시 성동구 연무장7가길 10 1F
","
정통 중식 / 일반 중식
",중식,연무장7가길,1,-1.524680733959792
39,텅플래닛,3.1,"서울특별시 성동구 성수이로 82 2F
","
카페 / 디저트
",카페/디저트,성수이로,1,-1.791825648884372
40,봇봇봇,3.0,"서울특별시 성동구 아차산로9길 8
","
카페 / 디저트
",카페/디저트,아차산로9길,1,-2.058970563808952
